,ast,blk,drb,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,g,mp,orb,pf,pts,stl,team_name,tov,trb
0,,,,,,,,,,,,,,,,,,,,,,,,
1,24.7,4.8,36.4,41.7,26.5,.541,49.0,15.1,.367,41.3,.461,90.3,18.6,.779,23.8,75,242.3,10.5,19.5,117.0,6.1,Dallas Mavericks*,12.7,46.9
2,25.9,5.9,42.2,43.3,29.5,.567,52.0,13.8,.355,38.9,.476,90.9,18.3,.742,24.7,73,241.0,9.5,19.6,118.7,7.2,Milwaukee Bucks*,15.1,51.7
3,20.6,6.1,35.1,42.2,29.3,.514,57.1,12.9,.377,34.1,.463,91.2,17.7,.804,22.1,74,241.0,10.2,21.7,115.0,6.3,Portland Trail Blazers*,12.8,45.3
4,21.6,5.2,34.5,40.8,25.1,.557,45.2,15.6,.345,45.3,.451,90.4,20.6,.791,26.1,72,241.4,9.8,21.8,117.8,8.7,Houston Rockets*,14.7,44.3
5,23.7,4.7,37.0,41.6,29.1,.522,55.8,12.4,.371,33.5,.466,89.2,20.8,.791,26.3,72,241.4,10.7,22.1,116.3,7.1,Los Angeles Clippers*,14.6,47.7
6,26.8,5.0,35.4,42.6,28.9,.528,54.8,13.6,.370,36.9,.465,91.6,17.1,.729,23.4,72,242.1,11.1,21.2,115.8,7.5,New Orleans Pelicans,16.4,46.5
7,27.2,4.0,33.8,41.2,29.8,.529,56.3,11.4,.358,31.8,.468,88.1,19.9,.834,23.8,73,241.0,9.8,22.0,113.6,7.7,Phoenix Suns,14.8,43.5
8,25.0,4.3,31.9,41.5,29.5,.506,58.3,12.0,.368,32.6,.457,90.9,19.4,.788,24.6,72,241.0,10.2,22.7,114.4,8.0,Washington Wizards,14.2,42.0
9,26.9,5.5,36.2,42.5,31.6,.532,59.4,10.9,.347,31.5,.468,90.9,16.6,.763,21.8,73,240.7,10.3,21.2,112.6,7.9,Memphis Grizzlies,15.2,46.5
10,23.0,5.6,35.4,41.3,28.7,.522,55.0,12.6,.364,34.5,.461,89.6,18.6,.801,23.2,72,242.1,10.7,21.6,113.7,8.3,Boston Celtics*,13.8,46.1
11,25.9,4.5,35.9,39.5,26.0,.532,49.0,13.4,.379,35.4,.468,84.4,19.7,.783,25.2,73,243.1,8.5,20.6,112.0,7.5,Miami Heat*,14.9,44.4
12,26.7,4.6,33.4,42.0,31.1,.533,58.3,11.0,.359,30.6,.473,88.9,16.2,.777,20.9,73,243.1,10.8,20.3,111.3,8.0,Denver Nuggets*,13.8,44.1
13,25.2,5.0,35.9,40.2,26.4,.519,50.9,13.8,.374,37.0,.458,87.9,18.5,.796,23.2,72,241.4,9.5,21.7,112.8,8.8,Toronto Raptors*,14.8,45.4
14,24.7,5.5,35.6,42.2,31.5,.516,61.0,10.7,.376,28.5,.472,89.4,19.0,.810,23.4,71,242.5,9.0,19.4,114.1,7.3,San Antonio Spurs,12.6,44.6
15,25.8,5.3,35.0,41.1,29.5,.524,56.3,11.6,.368,31.6,.468,87.9,16.9,.755,22.4,73,241.0,10.5,20.9,110.7,8.0,Philadelphia 76ers*,14.2,45.4
16,25.4,6.6,35.1,42.3,31.3,.552,56.7,11.0,.349,31.6,.480,88.3,17.7,.729,24.3,71,240.7,10.7,20.7,113.4,8.6,Los Angeles Lakers*,15.2,45.7
