,ast,blk,drb,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,g,mp,orb,pf,pts,stl,team_name,tov,trb
0,,,,,,,,,,,,,,,,,,,,,,,,
1,24.6,4.8,36.3,41.5,26.4,.541,48.9,15.1,.367,41.1,.461,90.0,18.5,.779,23.8,75,18175,10.5,19.4,116.7,6.1,Dallas Mavericks*,12.7,46.8
2,24.5,5.6,40.0,41.0,27.9,.567,49.3,13.1,.355,36.9,.476,86.1,17.3,.742,23.4,73,17595,9.0,18.6,112.4,6.8,Milwaukee Bucks*,14.3,49.0
3,20.4,6.0,34.7,41.7,29.0,.514,56.4,12.7,.377,33.7,.463,90.2,17.5,.804,21.8,74,17835,10.1,21.5,113.7,6.2,Portland Trail Blazers*,12.6,44.8
4,20.7,4.9,33.1,39.1,24.1,.557,43.3,15.0,.345,43.4,.451,86.7,19.8,.791,25.0,72,17380,9.4,20.8,112.9,8.3,Houston Rockets*,14.1,42.4
5,23.2,4.6,36.2,40.7,28.5,.522,54.6,12.2,.371,32.8,.466,87.4,20.4,.791,25.8,72,17380,10.4,21.7,113.9,6.9,Los Angeles Clippers*,14.3,46.7
6,25.6,4.8,33.9,40.7,27.6,.528,52.3,13.0,.370,35.3,.465,87.6,16.3,.729,22.4,72,17430,10.6,20.2,110.7,7.2,New Orleans Pelicans,15.7,44.4
7,26.7,3.9,33.2,40.5,29.3,.529,55.3,11.2,.358,31.2,.468,86.5,19.5,.834,23.4,73,17595,9.6,21.7,111.7,7.5,Phoenix Suns,14.5,42.8
8,24.3,4.2,30.9,40.3,28.6,.506,56.6,11.6,.368,31.6,.457,88.1,18.8,.788,23.8,72,17355,9.9,22.0,110.9,7.7,Washington Wizards,13.7,40.8
9,26.1,5.3,35.1,41.3,30.7,.532,57.6,10.6,.347,30.5,.468,88.1,16.1,.763,21.1,73,17570,10.0,20.5,109.2,7.7,Memphis Grizzlies,14.8,45.1
10,22.9,5.6,35.3,41.1,28.6,.522,54.8,12.5,.364,34.4,.461,89.3,18.5,.801,23.1,72,17430,10.6,21.5,113.3,8.2,Boston Celtics*,13.8,45.9
11,26.0,4.6,36.0,39.6,26.1,.532,49.2,13.5,.379,35.5,.468,84.7,19.8,.783,25.3,73,17745,8.5,20.6,112.5,7.5,Miami Heat*,15.0,44.5
12,27.2,4.7,33.9,42.7,31.6,.533,59.2,11.2,.359,31.1,.473,90.4,16.5,.777,21.3,73,17745,10.9,20.7,113.1,8.2,Denver Nuggets*,14.0,44.9
13,24.9,4.9,35.3,39.6,26.0,.519,50.2,13.6,.374,36.4,.458,86.6,18.2,.796,22.9,72,17380,9.4,21.3,111.1,8.7,Toronto Raptors*,14.6,44.7
