,player,pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
0,Arron Afflalo,SG,24,DEN,82,75,2221,6.2,13.3,.465,2.5,5.7,.434,3.7,7.7,.488,1.6,2.2,.735,1.3,4.4,5.7,3.1,1.0,0.7,1.7,5.1,16.5,,114,111
1,Alexis Ajinça,C,21,CHA,6,0,30,8.9,17.7,.500,0.0,0.0,,8.9,17.7,.500,0.0,1.8,.000,1.8,5.3,7.1,0.0,1.8,1.8,3.5,8.9,17.7,,81,103
2,LaMarcus Aldridge,PF,24,POR,78,78,2922,10.8,21.9,.495,0.1,0.3,.313,10.7,21.6,.498,4.3,5.7,.757,3.6,8.1,11.7,3.0,1.3,0.9,1.9,4.3,26.1,,113,107
3,Joe Alexander,SF,23,CHI,8,0,29,1.8,10.7,.167,0.0,1.8,.000,1.8,8.9,.200,3.6,5.3,.667,3.6,5.3,8.9,3.6,1.8,1.8,0.0,16.0,7.1,,88,104
4,Malik Allen,PF,31,DEN,51,3,456,5.1,12.9,.397,0.1,0.7,.167,5.0,12.2,.409,1.3,1.4,.923,4.0,5.1,9.1,1.8,1.2,0.6,2.4,7.6,11.7,,93,110
5,Ray Allen*,SG,34,BOS,80,80,2819,8.6,18.1,.477,2.7,7.4,.363,5.9,10.7,.556,4.3,4.7,.913,0.8,3.9,4.7,3.9,1.2,0.5,2.4,3.4,24.2,,115,108
6,Tony Allen,SG,28,BOS,54,8,889,7.6,14.9,.510,0.0,0.3,.000,7.6,14.6,.520,4.2,7.0,.605,3.1,5.5,8.5,4.2,3.5,1.1,3.9,6.4,19.4,,101,101
7,Rafer Alston,PG,33,TOT,52,38,1421,5.8,16.6,.348,2.2,6.3,.345,3.6,10.4,.349,2.2,3.0,.728,0.5,4.3,4.8,6.6,1.9,0.4,3.5,3.8,15.9,,89,109
8,Lou Amundson,PF,27,PHO,79,0,1168,6.6,11.9,.551,0.0,0.0,.000,6.6,11.9,.553,2.9,5.3,.545,5.5,9.4,14.9,1.3,1.0,3.1,2.5,7.3,16.0,,113,107
9,Chris Andersen,PF,31,DEN,76,0,1695,4.2,7.5,.566,0.0,0.1,.000,4.2,7.4,.573,4.9,7.1,.695,4.4,10.0,14.4,1.0,1.3,4.3,1.8,5.1,13.4,,126,103
10,David Andersen,C,29,HOU,63,0,891,8.4,19.5,.432,1.5,4.5,.346,6.9,15.0,.458,2.6,3.8,.687,3.1,8.8,11.9,2.5,0.9,0.7,2.1,6.8,21.0,,103,108
11,Antonio Anderson,SF,24,OKC,1,0,15,3.4,10.3,.333,0.0,0.0,,3.4,10.3,.333,0.0,0.0,,3.4,0.0,3.4,0.0,0.0,0.0,3.4,3.4,6.9,,66,114
